Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Quincy Acy,,2.5,1.7,1.5,1.1,1,0.9,-0.1
Damien Wilkins,87.4,2.8,1.9,1.7,1.5,1,1,0
Wesley Johnson,86.5,2.6,1.9,1.7,1.3,0.9,0.6,0
Jud Buechler,85.6,2.3,1.8,1.5,1.2,1.2,0.5,0.4
Jeremy Evans,85.2,2.8,1.6,1.3,0.9,0.9,0.6,0
Jason Smith,82.9,2.2,1.7,1.6,1.5,1.2,0.9,0.7
Pete Chilcutt,81.3,2.1,2,1.5,1.4,1.1,1,0.7
Mark Madsen,81.1,2.7,1.9,1.1,1.1,0.8,0.6,0.4
Scott Hastings,80.7,2.1,1.5,1.3,1,0.8,0.4,0.1
Ryan Bowen,80.6,3.1,2.1,1.7,1.4,1.1,0.8,0.2
Marty Conlon,80.1,3.1,1.8,1.4,1,0.8,0.6,0.3
