Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Billy Shepherd,,1.7,1.3,-0.3,NA,NA,NA
Andrew Harrison,84.6,1.7,1.6,-0.1,NA,NA,NA
Fred LaCour,81.1,1.7,1.7,-0.1,NA,NA,NA
Rod Foster,79.6,1.6,0.9,-0.3,NA,NA,NA
Ollie Mack,77.3,1.6,1,-0.1,NA,NA,NA
Quinn Cook,76.9,1.8,1.6,0.2,NA,NA,NA
Lloyd Daniels,73.5,1.8,1.1,0.2,0.1,0,NA
Richie Regan,69.5,1.6,1.5,0.4,NA,NA,NA
Bryce Drew,67.2,1.7,1.3,0,-0.1,-0.2,-0.4
Steve Bracey,66.9,2.1,1.5,0.3,NA,NA,NA
Tracy Jackson,66.6,1.7,0.7,0,NA,NA,NA
