Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Eddy Curry,,4.7,4.3,3.5,3.3,3,1.8,1.7,0,-0.1,-0.1,-0.3
Nazr Mohammed,88.8,4.6,4.5,3.7,3.4,3.3,2.5,2.3,0.4,0,0,-0.1
John Gianelli,88.0,5.5,4.4,3.6,3.2,3,2.5,1.2,-0.4,NA,NA,NA
Chris Dudley,87.4,4.7,4.1,3.5,3.4,2.2,2.2,1.5,1,0.2,0.1,0
Bismack Biyombo,84.5,5.9,4,3.2,2.9,2.9,2,1.4,0.6,NA,NA,NA
Walter Dukes,83.9,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5,NA,NA,NA
John Henson,83.0,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA,NA,NA,NA
Otto Moore,82.8,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA,NA
Jim Davis,82.4,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,NA,NA,NA
Kevin Kunnert,81.9,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA,NA
Oliver Miller,81.8,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0,NA,NA
