Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Mike Butler,,3.1,2.3,1.6,0.1
Jeremy Lamb,91.6,3.3,2.7,1.6,0.2
Maurice Evans,90.5,3.2,2.6,2.1,0.1
Haywoode Workman,90.4,2.8,2.5,1.9,0.1
Tony Snell,90.3,3.4,2.4,1.6,0.4
Yogi Ferrell,90.0,3,1.9,1.8,NA
Mo Williams,89.7,3.2,2.5,2.2,0.2
Steve Kerr,89.6,3.2,2.4,1.3,0.4
Freddie Crawford,88.1,2.7,2.2,1.6,-0.2
Louie Nelson,87.9,2.9,2.3,1.1,0
John Battle,87.1,3.2,2.3,1.5,1
