Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,NOB,ABA,SG,11,NA,237,4.6,16.3,0.28,2.1,8.1,0.264,2.4,8.2,0.296,3.9,4.4,0.897,NA,NA,4.4,2.6,NA,2.1,3.9,15.2
1970-71,24,UTS,ABA,SG,10,NA,77,8.9,15.4,0.576,0.9,3.7,0.25,7.9,11.7,0.68,3.7,4.2,0.889,0.9,4.2,5.1,2.8,NA,4.2,3.7,22.4
Career,NA,,ABA,,21,NA,314,5.6,16.1,0.35,1.8,7,0.262,3.8,9.1,0.418,3.9,4.4,0.895,0.9,4.2,4.6,2.6,NA,2.6,3.9,17
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NOB,ABA,,11,NA,237,4.6,16.3,0.28,2.1,8.1,0.264,2.4,8.2,0.296,3.9,4.4,0.897,NA,NA,4.4,2.6,NA,2.1,3.9,15.2
1 season,NA,UTS,ABA,,10,NA,77,8.9,15.4,0.576,0.9,3.7,0.25,7.9,11.7,0.68,3.7,4.2,0.889,0.9,4.2,5.1,2.8,NA,4.2,3.7,22.4
