Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mike Butler,,3.1,2.3,1.6,0.1,NA
Yogi Ferrell,90.0,3,1.9,1.8,NA,NA
Louie Nelson,87.8,2.9,2.3,1.1,0,0
Jerian Grant,86.6,3.3,2.5,1.7,0.8,NA
Norman Powell,86.6,2.8,2.4,1.6,0.6,NA
Dennis Hopson,86.3,3.1,2.1,1.7,0.5,-0.3
Freddie Crawford,84.7,2.7,2.2,1.6,-0.2,-0.3
Terry Furlow,83.6,3.3,2.8,1.1,0,NA
Mervin Jackson,82.5,3.1,3.1,1.8,-0.2,-0.2
Dick Garrett,82.4,2.4,2.3,1.6,0.1,-0.2
Tyus Jones,81.9,3.6,3,1.5,0.3,NA
