,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,NOB,ABA,,9,,5,,,,9,10,,,,,,,,22
1969-70,23,NOB,ABA,,10,,5,,,,6,8,,,,,,,,25
1970-71,24,UTS,ABA,,13,,2,,,,11,11,,,,,,,,29
1971-72,25,UTS,ABA,,5,,2,,,,2,3,,,,,,,,12
Career,,,,,13,,5,,,,11,11,,,,,,,,29
2 Seasons,,NOB,ABA,,10,,5,,,,9,10,,,,,,,,25
2 Seasons,,UTS,ABA,,13,,2,,,,11,11,,,,,,,,29
