Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Aaron Brooks,,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3,0.1,NA
Malik Sealy,90.0,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,NA,NA,NA
Evan Fournier,85.4,5.7,3.3,3.2,2.8,2.1,1.4,1,NA,NA,NA,NA
Johnny Dawkins,85.3,6.4,4.3,3.6,2,1.7,1.1,1.1,1,0.6,NA,NA
Wayne Ellington,84.9,4.5,3.3,3.2,2.6,1.2,0.8,0.8,0.7,0.4,0.3,NA
Scott Burrell,84.6,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA,NA,NA
Ron Brewer,83.5,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA,NA,NA
Darnell Valentine,82.5,5,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1,NA,NA
Jerry Sichting,82.4,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,NA
Chris Whitney,82.4,6.5,4,3.2,2.7,2.3,1.3,1,0.6,0.2,-0.2,-0.3
Chico Vaughn,82.1,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,NA,NA,NA
