Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Pablo Prigioni,,3.4,3.2,2.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Bill Gabor,87.2,3.5,2.9,2.8,1.5,0.5,0,NA,NA,NA,NA,NA,NA
Ken Charles,84.0,3.3,3,2.3,0.6,0.6,NA,NA,NA,NA,NA,NA,NA
Devin Booker,83.8,3.5,2.4,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA
Skeeter Swift,83.6,4.3,3.4,2.7,1.8,0,NA,NA,NA,NA,NA,NA,NA
Jaren Jackson,83.1,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
T.J. McConnell,83.0,3.8,3.8,2.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA
Eddie Robinson,82.9,4,3,2.2,0.8,0.2,NA,NA,NA,NA,NA,NA,NA
Langston Galloway,79.7,3.4,3.3,1.4,1.3,1.3,NA,NA,NA,NA,NA,NA,NA
Sonny Hertzberg,79.6,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA,NA,NA
Andre Roberson,78.6,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA,NA,NA,NA
