Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Pablo Prigioni,,3.4,3.2,2.3,1.5
Mitchell Wiggins,91.7,3.5,3.3,2,1.2
Dana Barros,91.1,3.6,3.5,2.5,1.8
Chico Vaughn,91.0,3.4,3.4,2.3,0.8
Steve Colter,90.6,3.3,2.6,2.3,1.7
Rod Thorn,90.5,3.4,2.9,2.3,2.1
T.R. Dunn,89.2,3.7,3.3,1.6,1.6
Ken Charles,88.4,3.3,3,2.3,0.6
Larry Wright,88.3,3.5,2.7,1.8,1.4
Anthony Morrow,88.2,3.5,3,3,1.7
Bob Harrison,88.0,3.5,3.3,2.9,2.2
