Season,Team,Lg,Salary
1998-99,Denver Nuggets,NBA,"$2,150,000"
1999-00,Denver Nuggets,NBA,"$2,777,160"
2000-01,Denver Nuggets,NBA,"$2,970,840"
2001-02,Denver Nuggets,NBA,"$3,755,142"
2002-03,Dallas Mavericks,NBA,"$7,270,000"
2003-04,Boston Celtics,NBA,"$8,178,750"
2004-05,Boston Celtics,NBA,"$9,714,538"
2005-06,Boston Celtics,NBA,"$10,623,288"
2006-07,Portland Trail Blazers,NBA,"$11,532,037"
2007-08,Portland Trail Blazers,NBA,"$12,440,787"
2008-09,Portland Trail Blazers,NBA,"$12,722,500"
Career,(may be incomplete),,"$84,135,042"
