Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Raef LaFrentz,,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2
Tobias Harris,89.6,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9,NA,NA
Lonnie Shelton,89.0,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1
Wil Jones,88.3,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA
Cincinnatus Powell,88.0,8.1,7,6.8,6.4,5.4,4.3,3,0.1,NA,NA
Sidney Wicks,87.0,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1
Kenneth Faried,86.7,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA
Campy Russell,86.1,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1,NA
Dave Greenwood,84.8,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2.2,2,1.1
Tristan Thompson,84.6,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA
Jim Pollard,84.3,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA
