Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1990-91,25,UTA,NBA,SF,47,15,470,5.4,13.3,0.403,1.3,3.4,0.375,4.1,9.9,0.413,2.7,3.5,0.758,3.4,3.8,7.2,3.3,1.5,0.2,2.6,6.2,14.7,NA,101,108
1995-96,30,UTA,NBA,SF,13,0,53,8.1,22.1,0.364,3,12.1,0.25,5,10.1,0.5,3,4,0.75,0,6,6,1,0,0,2,12.1,22.1,NA,93,111
Career,NA,,NBA,,60,15,523,5.6,14.1,0.397,1.5,4.3,0.341,4.2,9.9,0.422,2.7,3.6,0.757,3.1,4,7.1,3.1,1.4,0.2,2.5,6.8,15.4,NA,100,108
