Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Matthew Dellavedova,,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA,NA,NA,NA,NA
Ennis Whatley,86.7,3.3,2.2,1.9,0.8,0.7,0.6,0,0,0,0,NA,NA
Kent Bazemore,86.1,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA,NA,NA,NA
Ron Lee,84.8,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA,NA,NA,NA
Rick Adelman,84.7,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA,NA,NA,NA
Gary Neal,84.6,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA,NA,NA,NA
Sonny Hertzberg,83.5,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA,NA,NA
Sam Vincent,80.6,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA,NA,NA,NA,NA
George Dempsey,80.0,3.5,2.2,2.1,1.5,1.4,NA,NA,NA,NA,NA,NA,NA
Ronald Murray,79.7,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3,NA,NA,NA,NA
Jaren Jackson,79.0,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
