Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Matthew Dellavedova,,3.8,2.1,1.9,1.2,0.5,0.5
Damon Jones,90.2,3.9,1.9,1.8,1.5,0.7,0.7
Tyronn Lue,86.2,3.7,2.1,2,0.4,0.3,0.2
J.J. Barea,85.5,3.2,2.2,2.2,1.2,0.5,0.1
Gary Neal,85.1,3.5,2.5,1.9,1.4,1,0.6
Kent Bazemore,85.0,4.1,2.2,2.1,1.6,0.2,0.1
Ron Lee,84.8,3.8,2.8,1.6,1.4,0.8,0.3
Sonny Hertzberg,83.5,4,2.5,2.3,1.4,0.7,NA
Sam Vincent,82.7,3.3,2.4,2.3,0.9,0.5,0.3
Charles Johnson,82.0,3.7,2.4,1.4,1.1,1,0.9
Anthony Bowie,81.8,2.9,2.5,2,1.3,0.7,0.5
