Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Shellie McMillon,,2.5,2.2,1.7,1.7
Othella Harrington,90.5,3,2.2,1.7,1.4
Mark Acres,88.2,2.5,2.2,1.6,0.9
Lavoy Allen,88.2,2.8,2.5,1.6,1.5
Ryan Bowen,87.5,3.1,2.1,1.7,1.4
Kyle O'Quinn,87.4,2.5,1.6,1.6,1.4
Corky Calhoun,86.9,2.5,2.2,2.1,1
George Kaftan,85.5,3.4,2.4,1.7,1.6
Al Tucker,84.5,2.3,2.3,2.1,1.1
Derrick Williams,84.3,3,2.6,2.1,1.8
Don Barksdale,84.1,3.1,2.3,2.2,1.5
