Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Shellie McMillon,,2.5,2.2,1.7,1.7,NA,NA,NA,NA
Willie Burton,86.5,2.6,2.1,2,1.6,0.5,0.2,0.1,-0.1
Mark Acres,85.7,2.5,2.2,1.9,1.6,0.9,0.3,NA,NA
Justin Holiday,85.1,2.5,2.1,1.7,1.3,0.6,-0.1,NA,NA
Don Barksdale,84.1,3.1,2.3,2.2,1.5,NA,NA,NA,NA
George Kaftan,83.9,3.4,2.4,1.7,1.6,-0.1,NA,NA,NA
Ronald Thomas,83.4,2.7,2,1.8,0.8,NA,NA,NA,NA
Bobby Portis,82.7,3.5,2.4,1.6,1.5,NA,NA,NA,NA
Kenny Williams,81.6,2.7,2.4,1.6,0.7,NA,NA,NA,NA
Josh Boone,80.6,3.7,1.8,1.8,1.7,NA,NA,NA,NA
McCoy McLemore,80.5,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3
