Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Lou Tsioropoulos,,1.4,0.7,0,NA,NA
Adrian Branch,86.9,1.5,0.7,0,-0.1,NA
Kevin Loder,84.8,1.5,0.9,0.1,NA,NA
Brian Rowsom,83.4,1.5,1,0,NA,NA
Bob McCann,83.3,1.3,0.6,0.1,0.1,0
Dennis Wuycik,82.5,1.4,0.9,-0.1,NA,NA
Ron Riley,81.1,1.6,0.7,0.2,0,NA
Mario Bennett,80.9,1.5,0.5,0,-0.1,NA
Roy Rogers,80.1,1.4,0.4,-0.1,NA,NA
Chris McNealy,79.2,1.6,0.8,0.2,NA,NA
Chris Singleton,78.6,1.5,0.5,0.2,NA,NA
