Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Claude Terry,,2.4,1.8,1,1,0.8,0,NA,NA
Marcus Banks,82.1,2.3,1.9,0.8,0.7,0.5,0.4,0,0
Tim Frazier,80.7,2.4,2,1.4,1,-0.1,NA,NA,NA
Mike Barr,80.4,2.7,1.7,1.4,0.7,0.4,NA,NA,NA
Hollis Thompson,78.7,2.6,2,1.2,0.7,NA,NA,NA,NA
Joe Hassett,78.2,2,1.6,1.4,0.9,0.5,0,NA,NA
Nelson Bobb,78.0,2,1.8,1.2,1.1,NA,NA,NA,NA
Travis Diener,77.4,2.5,1.9,0.7,0.6,0,NA,NA,NA
Jerry Fleishman,77.4,2.2,2.1,1.6,1.3,0.6,NA,NA,NA
Jordan Crawford,77.0,2.8,1.9,1.1,0.9,0.2,-0.6,NA,NA
Dave Wohl,76.7,2.1,1.7,1.4,1,0.2,0,-0.2,NA
