Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Claude Terry,,2.4,1.8,1,1,0.8,0
Alonzo Gee,88.7,2.4,1.9,1.2,1,0.9,0.4
Al Bianchi,88.5,2.4,1.8,1.5,0.8,0.8,-0.1
Si Green,86.3,2.6,1.6,1,0.8,0.4,NA
Marcus Banks,85.7,2.3,1.9,0.8,0.7,0.4,0
Shaun Livingston,84.4,2.4,1.9,1.3,1.2,0.4,0.1
John Crotty,84.1,2.4,2.1,1.3,1,0.3,-0.1
Jon Barry,81.9,2.4,2.1,1.8,1.1,0.9,-0.1
Tim Frazier,80.7,2.4,2,1.4,1,-0.1,NA
Mike Barr,80.4,2.7,1.7,1.4,0.7,0.4,NA
Sasha Pavlović,79.5,3.1,1.7,0.9,0.8,0.5,0.2
