Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Michael Hawkins,,0.2,0,0,0
Dwight Buycks,64.7,0.2,0.1,0,NA
Gerald Madkins,51.0,0.3,0.1,0,NA
Dominique Jones,48.9,0.2,0,0,NA
Michael Phelps,34.6,0.3,0.1,-0.1,NA
A.J. Guyton,32.6,0.3,0.1,-0.1,NA
R.J. Hunter,29.6,0.3,0.1,0,0
Malcolm Lee,23.2,0.4,0.1,0,NA
Jarell Eddie,19.7,0.1,0.1,0,NA
Awvee Storey,19.7,0.2,0.1,0,NA
Dave Jamerson,16.8,0.2,0.1,-0.1,NA
