Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Devin Ebanks,,0.4,0.3,-0.1,NA
Riney Lochmann,60.0,0.4,0.3,-0.2,NA
Gene James,54.7,0.5,0.3,0.1,NA
Justin Reed,54.0,0.4,0.3,-0.2,NA
Quincy Lewis,53.4,0.3,0.3,0.1,0
Scooter McCray,50.3,0.3,0.1,0,NA
Josh Davis,44.5,0.5,0.3,0,0
Josh Huestis,43.5,0.5,0.2,0,NA
Anthony Frederick,42.9,0.5,0.2,0,NA
Alex Poythress,38.4,0.5,0.3,0.1,NA
Chris McCullough,38.0,0.3,0.2,0.1,NA
