Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Wally Osterkorn,,4.3,4,1.4,-0.8,NA
Leonard Gray,85.9,4.1,4,1.8,NA,NA
Sam Smith,79.9,4.6,3.3,1.4,0.2,NA
Jaylen Brown,79.3,4.5,3,1.5,NA,NA
Travis Grant,74.9,5.6,4.1,1.5,0.5,NA
Leon Powe,72.2,4.9,4.3,1.7,0.6,0.5
Kristaps Porziņģis,71.7,4.5,4.4,3.2,NA,NA
Larry Stewart,70.8,4.7,2.9,1.6,0.5,0.1
Dāvis Bertāns,70.0,4,3.1,2.3,NA,NA
Ollie Darden,68.6,3.7,3.6,0.3,NA,NA
Landry Fields,67.9,5.3,3.4,1.1,0.4,0.3
