Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Wally Osterkorn,,4.3,4,1.4,-0.8
Marcus Morris,88.2,4.2,4,1.8,-0.2
Leonard Gray,85.9,4.1,4,1.8,NA
Larry McNeill,80.4,4.4,4.3,1.5,0.7
Sam Smith,79.9,4.6,3.3,1.4,0.2
Jaylen Brown,79.3,4.5,3,1.5,NA
Stephen Jackson,79.0,4.8,4.4,0.9,-0.1
Walt Williams,78.1,5.1,5.1,1.6,-0.7
Brandon Bass,77.1,4.3,4.1,0.1,0
Nate Williams,76.9,4.5,4,2.5,0.4
Leon Powe,76.5,4.9,4.3,1.7,0.5
