Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,22,STL,NBA,SG,55,676,12.3,0.464,0.183,NA,NA,NA,12.6,NA,NA,NA,NA,NA,0.2,0.4,0.6,0.045,NA,NA,NA,NA,NA
1967-68,23,STL,NBA,SG,75,1622,10.4,0.468,0.272,NA,NA,NA,14,NA,NA,NA,NA,NA,0.4,1.3,1.8,0.052,NA,NA,NA,NA,NA
1968-69,24,PHO,NBA,SF,81,2108,13.9,0.513,0.301,NA,NA,NA,14.2,NA,NA,NA,NA,NA,3.2,0.6,3.7,0.085,NA,NA,NA,NA,NA
1969-70,25,TOT,NBA,SG,82,2437,14.3,0.566,0.241,NA,NA,NA,18.7,NA,NA,NA,NA,NA,4.9,1.3,6.2,0.121,NA,NA,NA,NA,NA
1969-70,25,PHO,NBA,,6,147,8.3,0.526,0.178,NA,NA,NA,7.9,NA,NA,NA,NA,NA,0.1,0,0.2,0.058,NA,NA,NA,NA,NA
1969-70,25,SEA,NBA,SG,76,2290,14.7,0.568,0.244,NA,NA,NA,19.4,NA,NA,NA,NA,NA,4.8,1.2,6,0.125,NA,NA,NA,NA,NA
1970-71,26,SEA,NBA,SG,82,2824,17.4,0.579,0.297,NA,NA,4.2,17.8,NA,NA,NA,NA,NA,8.8,1.2,10,0.17,NA,NA,NA,NA,NA
1971-72,27,SEA,NBA,SG,73,2534,15.8,0.576,0.276,NA,NA,4.3,16.4,NA,NA,NA,NA,NA,6.7,1.3,8,0.152,NA,NA,NA,NA,NA
1972-73,28,SEA,NBA,SG,82,3060,12,0.507,0.211,NA,NA,5,14.2,NA,NA,NA,NA,NA,3.2,0.9,4.1,0.065,NA,NA,NA,NA,NA
1973-74,29,SEA,NBA,SG,74,2670,14.5,0.52,0.188,3.1,8.2,5.6,14.3,1.5,0.5,NA,NA,NA,4.4,1.6,6,0.107,NA,0.2,-0.3,-0.1,1.3
1974-75,30,CLE,NBA,SG,82,2590,15.1,0.541,0.197,1.5,8.3,4.9,16.3,1.3,0.9,NA,NA,NA,4.6,1.8,6.4,0.118,NA,0.7,0,0.7,1.8
1975-76,31,CLE,NBA,SG,82,2274,14.7,0.538,0.213,2.2,6.9,4.5,14,1.2,0.8,NA,NA,NA,4.4,1.8,6.2,0.131,NA,0.7,0.1,0.7,1.6
1976-77,32,CLE,NBA,SG,82,1685,13.3,0.5,0.215,2.7,6.4,4.5,13.9,1.3,1,NA,NA,NA,2.2,1.2,3.4,0.097,NA,-0.4,-0.1,-0.6,0.6
1977-78,33,CLE,NBA,SG,58,660,12,0.5,0.254,1.4,6.2,3.8,12,1.6,1.5,14.6,19.7,NA,0.3,0.6,0.9,0.067,NA,-1.7,0.5,-1.2,0.1
1978-79,34,SEA,NBA,SG,56,536,10.8,0.489,0.273,2.9,6.5,4.7,16,1.2,0.6,14.7,17.9,NA,0.3,0.6,0.9,0.08,NA,-2,0.1,-1.9,0
Career,NA,,NBA,,964,25676,14.1,0.531,0.239,2.3,7.4,4.7,15.4,1.3,0.8,14.6,18.9,NA,43.7,14.6,58.3,0.109,NA,0.1,-0.1,0.1,5.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,SEA,NBA,,443,13914,14.7,0.547,0.244,3.1,7.9,4.8,16.3,1.4,0.5,14.7,17.9,NA,28.2,6.8,35,0.121,NA,-0.1,-0.2,-0.4,1.3
4 seasons,NA,CLE,NBA,,304,7209,14.3,0.526,0.212,2,7.2,4.6,14.6,1.3,0.9,14.6,19.7,NA,11.5,5.4,16.9,0.113,NA,0.2,0,0.2,4.1
2 seasons,NA,STL,NBA,,130,2298,10.9,0.467,0.241,NA,NA,NA,13.6,NA,NA,NA,NA,NA,0.6,1.8,2.4,0.05,NA,NA,NA,NA,NA
2 seasons,NA,PHO,NBA,,87,2255,13.5,0.514,0.295,NA,NA,NA,13.8,NA,NA,NA,NA,NA,3.3,0.6,3.9,0.083,NA,NA,NA,NA,NA
