,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1966-67,22,STL,NBA,,0,0,0,0,,,0,0,,,,0,0,
1967-68,23,STL,NBA,,7,12,3,4,,,4,2,,,,4,17,
1975-76,31,CLE,NBA,,12,19,4,4,3,3,6,4,3,1,,6,26,
1976-77,32,CLE,NBA,,4,9,1,4,2,2,3,3,1,2,,2,9,
1977-78,33,CLE,NBA,,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0
1978-79,34,SEA,NBA,,4,7,3,5,1,2,3,3,,,,2,11,
Career,,,,,12,19,4,5,,,6,4,,,,6,26,
3 Seasons,,CLE,NBA,,12,19,4,4,3,3,6,4,3,2,,6,26,
1 Season,,SEA,NBA,,4,7,3,5,1,2,3,3,,,,2,11,
2 Seasons,,STL,NBA,,7,12,3,4,,,4,2,,,,4,17,
