Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,STL,NBA,SG,55,NA,12.3,2.6,6.1,0.432,0.8,1.1,0.754,NA,NA,1.7,1.1,NA,NA,NA,1.5,6.1
1967-68,23,STL,NBA,SG,75,NA,21.6,3.4,8.2,0.419,1.7,2.2,0.772,NA,NA,2.6,2.2,NA,NA,NA,2.9,8.6
1968-69,24,PHO,NBA,SF,81,NA,26,4.9,10.4,0.472,2.3,3.1,0.725,NA,NA,4,2.6,NA,NA,NA,2.6,12.1
1969-70,25,TOT,NBA,SG,82,NA,29.7,5.6,10.5,0.528,2.1,2.5,0.813,NA,NA,3.9,4.2,NA,NA,NA,3.4,13.2
1969-70,25,PHO,NBA,,6,NA,24.5,3.7,7.5,0.489,1.2,1.3,0.875,NA,NA,2.5,1.5,NA,NA,NA,3.3,8.5
1969-70,25,SEA,NBA,SG,76,NA,30.1,5.7,10.8,0.531,2.1,2.6,0.81,NA,NA,4.1,4.4,NA,NA,NA,3.4,13.6
1970-71,26,SEA,NBA,SG,82,NA,34.4,7.9,14.8,0.531,3.7,4.4,0.837,NA,NA,3.1,4.3,NA,NA,NA,3,19.4
1971-72,27,SEA,NBA,SG,73,NA,34.7,6.8,12.8,0.529,3,3.5,0.842,NA,NA,3.1,3.9,NA,NA,NA,2.7,16.6
1972-73,28,SEA,NBA,SG,82,NA,37.3,5.8,12.5,0.463,2.3,2.6,0.861,NA,NA,3.9,3.8,NA,NA,NA,2.6,13.8
1973-74,29,SEA,NBA,SG,74,NA,36.1,7.7,16.1,0.481,2.6,3,0.866,1.2,2.9,4.1,3.6,1.2,0.4,NA,3.5,18.1
1974-75,30,CLE,NBA,SG,82,NA,31.6,6.1,12,0.504,2,2.4,0.846,0.5,2.5,2.9,3.4,0.8,0.5,NA,2.8,14.2
1975-76,31,CLE,NBA,SG,82,NA,27.7,5.4,10.7,0.501,1.9,2.3,0.824,0.6,1.8,2.4,2.7,0.7,0.4,NA,2.6,12.6
1976-77,32,CLE,NBA,SG,82,NA,20.5,3.9,8.5,0.456,1.5,1.8,0.852,0.6,1.2,1.8,2,0.5,0.4,NA,2.2,9.3
1977-78,33,CLE,NBA,SG,58,NA,11.4,1.9,4.3,0.444,1,1.1,0.875,0.2,0.7,0.8,1,0.4,0.3,0.8,1.3,4.8
1978-79,34,SEA,NBA,SG,56,NA,9.6,1.4,3.3,0.433,0.8,0.9,0.843,0.3,0.6,0.9,1.1,0.3,0.1,0.6,0.9,3.7
Career,NA,,NBA,,964,NA,26.6,5.1,10.4,0.488,2,2.5,0.824,0.6,1.7,2.8,2.9,0.7,0.4,0.7,2.5,12.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,SEA,NBA,,443,NA,31.4,6.1,12.1,0.503,2.5,3,0.843,0.8,1.9,3.3,3.6,0.8,0.2,0.6,2.8,14.7
4 seasons,NA,CLE,NBA,,304,NA,23.7,4.5,9.3,0.486,1.7,2,0.844,0.5,1.6,2.1,2.4,0.6,0.4,0.8,2.3,10.6
2 seasons,NA,STL,NBA,,130,NA,17.7,3.1,7.3,0.424,1.3,1.8,0.768,NA,NA,2.2,1.7,NA,NA,NA,2.3,7.5
2 seasons,NA,PHO,NBA,,87,NA,25.9,4.8,10.2,0.473,2.2,3,0.73,NA,NA,3.9,2.5,NA,NA,NA,2.7,11.9
