Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,STL,NBA,SG,55,NA,676,144,333,0.432,46,61,0.754,NA,NA,91,59,NA,NA,NA,82,334
1967-68,23,STL,NBA,SG,75,NA,1622,257,613,0.419,129,167,0.772,NA,NA,194,164,NA,NA,NA,215,643
1968-69,24,PHO,NBA,SF,81,NA,2108,399,846,0.472,185,255,0.725,NA,NA,328,211,NA,NA,NA,213,983
1969-70,25,TOT,NBA,SG,82,NA,2437,456,863,0.528,169,208,0.813,NA,NA,323,342,NA,NA,NA,277,1081
1969-70,25,PHO,NBA,,6,NA,147,22,45,0.489,7,8,0.875,NA,NA,15,9,NA,NA,NA,20,51
1969-70,25,SEA,NBA,SG,76,NA,2290,434,818,0.531,162,200,0.81,NA,NA,308,333,NA,NA,NA,257,1030
1970-71,26,SEA,NBA,SG,82,NA,2824,645,1215,0.531,302,361,0.837,NA,NA,257,352,NA,NA,NA,249,1592
1971-72,27,SEA,NBA,SG,73,NA,2534,496,937,0.529,218,259,0.842,NA,NA,228,283,NA,NA,NA,200,1210
1972-73,28,SEA,NBA,SG,82,NA,3060,473,1022,0.463,186,216,0.861,NA,NA,323,311,NA,NA,NA,216,1132
1973-74,29,SEA,NBA,SG,74,NA,2670,572,1189,0.481,194,224,0.866,90,216,306,265,90,26,NA,257,1338
1974-75,30,CLE,NBA,SG,82,NA,2590,498,988,0.504,165,195,0.846,37,201,238,281,69,43,NA,226,1161
1975-76,31,CLE,NBA,SG,82,NA,2274,441,881,0.501,155,188,0.824,50,148,198,220,59,33,NA,215,1037
1976-77,32,CLE,NBA,SG,82,NA,1685,316,693,0.456,127,149,0.852,47,102,149,160,45,30,NA,177,759
1977-78,33,CLE,NBA,SG,58,NA,660,112,252,0.444,56,64,0.875,9,40,49,56,23,19,48,74,280
1978-79,34,SEA,NBA,SG,56,NA,536,81,187,0.433,43,51,0.843,15,33,48,63,14,6,36,52,205
Career,NA,,NBA,,964,NA,25676,4890,10019,0.488,1975,2398,0.824,248,740,2732,2767,300,157,84,2453,11755
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,SEA,NBA,,443,NA,13914,2701,5368,0.503,1105,1311,0.843,105,249,1470,1607,104,32,36,1231,6507
4 seasons,NA,CLE,NBA,,304,NA,7209,1367,2814,0.486,503,596,0.844,143,491,634,717,196,125,48,692,3237
2 seasons,NA,STL,NBA,,130,NA,2298,401,946,0.424,175,228,0.768,NA,NA,285,223,NA,NA,NA,297,977
2 seasons,NA,PHO,NBA,,87,NA,2255,421,891,0.473,192,263,0.73,NA,NA,343,220,NA,NA,NA,233,1034
