Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,STL,NBA,SG,1,NA,2,0,0,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
1967-68,23,STL,NBA,SG,4,NA,15.5,2.5,5.5,0.455,1,1.3,0.8,NA,NA,1.3,1,NA,NA,NA,1.5,6
1975-76,31,CLE,NBA,SG,13,NA,28,5.3,11.8,0.451,1.4,1.7,0.818,0.8,1.5,2.2,2.4,0.8,0.5,NA,2.7,12
1976-77,32,CLE,NBA,SG,3,NA,17.7,2.7,9,0.296,0.7,1.7,0.4,0.7,1,1.7,1.3,0.3,0.7,NA,2,6
1977-78,33,CLE,NBA,SG,1,NA,3,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0
1978-79,34,SEA,NBA,SG,9,NA,9.8,1.1,3.4,0.323,0.7,1,0.667,0.2,1,1.2,1.1,0.4,0.3,0.8,0.9,2.9
Career,NA,,NBA,,31,NA,18.5,3.1,7.5,0.416,1,1.3,0.732,0.5,1.2,1.6,1.6,0.6,0.4,0.8,1.8,7.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CLE,NBA,,17,NA,24.7,4.5,10.6,0.428,1.2,1.6,0.741,0.7,1.3,2,2.1,0.7,0.5,1,2.4,10.2
1 season,NA,SEA,NBA,,9,NA,9.8,1.1,3.4,0.323,0.7,1,0.667,0.2,1,1.2,1.1,0.4,0.3,0.8,0.9,2.9
2 seasons,NA,STL,NBA,,5,NA,12.8,2,4.4,0.455,0.8,1,0.8,NA,NA,1,0.8,NA,NA,NA,1.2,4.8
