Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,STL,NBA,SG,1,NA,2,0,0,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
1967-68,23,STL,NBA,SG,4,NA,62,5.8,12.8,0.455,2.3,2.9,0.8,NA,NA,2.9,2.3,NA,NA,NA,3.5,13.9
1975-76,31,CLE,NBA,SG,13,NA,364,6.8,15.1,0.451,1.8,2.2,0.818,1,1.9,2.9,3.1,1.1,0.6,NA,3.5,15.4
1976-77,32,CLE,NBA,SG,3,NA,53,5.4,18.3,0.296,1.4,3.4,0.4,1.4,2,3.4,2.7,0.7,1.4,NA,4.1,12.2
1977-78,33,CLE,NBA,SG,1,NA,3,0,0,NA,0,0,NA,0,0,0,0,0,0,12,0,0
1978-79,34,SEA,NBA,SG,9,NA,88,4.1,12.7,0.323,2.5,3.7,0.667,0.8,3.7,4.5,4.1,1.6,1.2,2.9,3.3,10.6
Career,NA,,NBA,,31,NA,572,6.1,14.7,0.416,1.9,2.6,0.732,1,2.2,3.1,3.1,1.1,0.8,3.2,3.5,14.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CLE,NBA,,17,NA,420,6.6,15.4,0.428,1.7,2.3,0.741,1,1.9,2.9,3,1,0.7,12,3.5,14.9
1 season,NA,SEA,NBA,,9,NA,88,4.1,12.7,0.323,2.5,3.7,0.667,0.8,3.7,4.5,4.1,1.6,1.2,2.9,3.3,10.6
2 seasons,NA,STL,NBA,,5,NA,64,5.6,12.4,0.455,2.3,2.8,0.8,NA,NA,2.8,2.3,NA,NA,NA,3.4,13.5
