Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,22,STL,NBA,SG,1,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0.011,NA,NA,NA,NA,NA
1967-68,23,STL,NBA,SG,4,62,9.5,0.496,0.227,NA,NA,NA,9.5,NA,NA,NA,NA,NA,0.1,0,0.1,0.06,NA,NA,NA,NA,NA
1975-76,31,CLE,NBA,SG,13,364,13.3,0.479,0.144,2.8,5.8,4.3,14.3,1.5,1,NA,NA,NA,0.3,0.5,0.7,0.098,NA,1.2,0,1.3,0.3
1976-77,32,CLE,NBA,SG,3,53,4.8,0.308,0.185,3.2,6.1,4.5,10.7,0.9,2.2,NA,NA,NA,-0.2,0.1,-0.1,-0.078,NA,-4.3,-1.7,-6,-0.1
1977-78,33,CLE,NBA,SG,1,3,-15.5,NA,NA,0,0,0,0,0,0,100,12.8,NA,0,0,0,-0.513,NA,-16.3,-6,-22.3,0
1978-79,34,SEA,NBA,SG,9,88,8.2,0.372,0.29,2.5,11.3,6.9,15.1,2.2,1.9,16.7,19.1,NA,-0.1,0.1,0,-0.004,NA,-2.9,0.5,-2.4,0
Career,NA,,NBA,,31,572,11.1,0.446,0.176,2.8,6.8,4.7,13.5,1.6,1.2,18.6,18.9,NA,0,0.7,0.7,0.059,NA,-0.2,-0.1,-0.3,0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CLE,NBA,,17,420,12,0.453,0.15,2.8,5.8,4.2,13.7,1.4,1.1,100,12.8,NA,0.1,0.5,0.6,0.072,NA,0.4,-0.2,0.2,0.2
1 season,NA,SEA,NBA,,9,88,8.2,0.372,0.29,2.5,11.3,6.9,15.1,2.2,1.9,16.7,19.1,NA,-0.1,0.1,0,-0.004,NA,-2.9,0.5,-2.4,0
2 seasons,NA,STL,NBA,,5,64,9.2,0.496,0.227,NA,NA,NA,9.2,NA,NA,NA,NA,NA,0.1,0,0.1,0.059,NA,NA,NA,NA,NA
