Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Edgar Jones,,3.4,3.4,2.6,2.4,2.3,0.9,NA,NA
Nick Weatherspoon,92.6,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA
Derrick Williams,90.1,3.6,3,2.6,2.1,1.8,1.1,0,NA
Glen Gondrezick,89.9,3.6,3.1,3.1,2.7,2.5,0.9,NA,NA
Mike Scott,86.7,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA
Jumaine Jones,86.6,3.7,3.3,3,2.9,2.3,0.1,0,-0.2
Howard Porter,85.1,4.1,3.9,2.7,2.4,2.4,1.1,1,NA
Willie Norwood,84.9,3.8,3.5,3.3,3,2.6,1.1,0.5,NA
Danny Vranes,84.5,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA
Scott Padgett,84.3,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
John Brown,83.7,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA
