Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Edgar Jones,,3.4,3.4,2.6,2.4,2.3,0.9
Nick Weatherspoon,92.8,3.7,3.6,2.6,2.4,2.1,0.6
J.R. Reid,90.7,3.5,3.4,3,2.1,1.8,1.1
Derrick Williams,90.3,3.6,3,2.6,2.1,1.8,1.1
Glen Gondrezick,89.9,3.6,3.1,3.1,2.7,2.5,0.9
Rodney Rogers,89.4,3.9,3.3,2.9,2.3,2,1.2
Tom McMillen,89.3,3.9,2.9,2.9,2.5,2.2,0.8
Lorenzen Wright,88.8,3.2,3.2,3.1,2.2,2.2,1.4
Antoine Carr,88.4,3.8,3.5,3.3,2.2,2.1,0.7
Dante Cunningham,88.3,3.5,3.4,2.9,2,1.9,1.6
Andrew DeClercq,87.7,3.4,3.1,2.9,2.5,1.6,0.4
