Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Casey Jacobsen,,2.7,2.6,1.2,-0.3
Freddie Crawford,86.8,2.7,2.2,1.6,-0.2
Louie Nelson,85.3,2.9,2.3,1.1,0
Bob Hansen,84.7,2.6,2.5,0.7,-0.1
Tex Ritter,83.1,2.4,2.3,1,NA
Sedale Threatt,81.7,2.5,2.1,1.3,0.1
Haywoode Workman,81.6,2.8,2.5,1.9,0.1
Terry Furlow,81.2,3.3,2.8,1.1,0
Dick Garrett,80.7,2.4,2.3,1.6,0.1
Bobby Jackson,80.7,3.1,2.2,1.2,-0.6
Norman Powell,79.3,2.8,2.4,1.6,0.6
