Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Casey Jacobsen,,2.7,2.6,1.2,-0.3,NA
Louie Nelson,85.2,2.9,2.3,1.1,0,0
Freddie Crawford,83.1,2.7,2.2,1.6,-0.2,-0.3
Tex Ritter,83.1,2.4,2.3,1,NA,NA
Terry Furlow,81.2,3.3,2.8,1.1,0,NA
Norman Powell,79.3,2.8,2.4,1.6,0.6,NA
Mike Butler,78.7,3.1,2.3,1.6,0.1,NA
Dick Garrett,77.3,2.4,2.3,1.6,0.1,-0.2
Ron Sobie,76.2,3.6,2.6,0.9,0.1,NA
Billy Ray Bates,75.5,3.6,2.4,0.9,0,NA
Mervin Jackson,75.2,3.1,3.1,1.8,-0.2,-0.2
