Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mike Barr,,2.7,1.7,1.4,0.7,0.4
Wes Matthews,93.7,2.6,1.6,1.3,0.7,0.4
Nick Young,89.8,2.8,1.9,1.4,1.2,0.4
Quinton Ross,86.7,3.2,1.7,1.6,0.7,0.6
Hollis Thompson,86.7,2.6,2,1.2,0.7,NA
Dell Curry,86.5,2.7,2,1.8,0.9,0.5
Tom Garrick,85.4,2.5,1.8,1.4,0.2,NA
Alonzo Gee,85.1,2.4,1.9,1,0.9,0.4
Shelvin Mack,84.8,2.3,1.3,1.3,0.7,0.5
John Crotty,84.6,2.4,2.1,1.3,1,0.3
Anthony Bowie,83.1,2.9,2.5,1.3,0.7,0.5
