Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mike Barr,,2.7,1.7,1.4,0.7,0.4,NA,NA,NA
Hollis Thompson,86.7,2.6,2,1.2,0.7,NA,NA,NA,NA
Alan Anderson,86.2,2.7,1.7,1.6,0.4,0.3,0.3,0.1,0.1
Tom Garrick,85.4,2.5,1.8,1.4,0.2,NA,NA,NA,NA
Quinton Ross,85.1,3.2,1.7,1.6,0.7,0.6,0,-0.1,NA
Joe Hassett,82.4,2,1.6,1.4,0.9,0.5,0,NA,NA
Tim Frazier,82.3,2.4,2,1.4,1,-0.1,NA,NA,NA
Greg Minor,82.3,3,2.1,1.7,0.8,0.6,NA,NA,NA
Norman Powell,81.4,2.8,2.4,1.6,0.6,NA,NA,NA,NA
Claude Terry,80.4,2.4,1.8,1,1,0.8,0,NA,NA
Dave Wohl,80.3,2.1,1.7,1.4,1,0.2,0,-0.2,NA
