,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,VIR,ABA,,2,,0,,,,2,2,,,,,,,,,6
1973-74,23,VIR,ABA,,6,,0,,,,2,2,,,,,,,,,13
1974-75,24,SSL,ABA,,10,,1,,,,2,4,,,,,,,,,20
Career,,,,,10,,1,,,,2,4,,,,,,,,,20
1 Season,,SSL,ABA,,10,,1,,,,2,4,,,,,,,,,20
2 Seasons,,VIR,ABA,,6,,0,,,,2,2,,,,,,,,,13
