Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Ed Conlin,,4.7,4.3,2,2,0.7,0.5,-0.1,NA,NA
Larry McNeill,89.1,4.4,4.3,2.3,1.5,0.7,0.1,NA,NA,NA
Fred Hetzel,88.8,5.1,4.5,2.9,2,0.9,0.5,NA,NA,NA
Andrew Wiggins,88.8,4.2,4.1,2.1,2.1,0.6,NA,NA,NA,NA
Cornell Warner,84.5,4.7,4.3,3.5,1.7,0.6,0.6,0.3,NA,NA
Dave Meyers,83.5,5,3.9,2.4,2.2,NA,NA,NA,NA,NA
Bob Harris,82.8,5,4.3,3.4,1.9,1,NA,NA,NA,NA
Leon Powe,81.2,4.9,4.3,1.7,0.6,0.5,NA,NA,NA,NA
Mike O'Koren,80.5,4.1,3.8,2,1.9,1.5,1.2,0.1,-0.1,NA
Albert King,80.4,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0,-0.1
T.J. Warren,80.4,4.1,3.4,2.2,2.1,1.1,NA,NA,NA,NA
