,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1955-56,22,SYR,NBA,,9,20,9,14,13,3,4,21
1956-57,23,SYR,NBA,,7,18,8,8,6,,4,22
1957-58,24,SYR,NBA,,6,18,2,3,10,2,5,13
1958-59,25,TOT,NBA,,2,8,1,2,,,3,4
1958-59,25,DET,NBA,,2,8,1,2,,,3,4
1959-60,26,DET,NBA,,3,,2,2,,0,2,6
1960-61,27,PHW,NBA,,5,9,5,5,2,3,3,10
1961-62,28,PHW,NBA,,3,10,3,4,4,1,3,9
Career,,,,,9,,9,14,,,5,22
3 Seasons,,SYR,NBA,,9,20,9,14,13,,5,22
2 Seasons,,PHW,NBA,,5,10,5,5,4,3,3,10
2 Seasons,,DET,NBA,,3,,2,2,,,3,6
