,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1955-56,22,SYR,NBA,,8,,10,12,,,6,19
1956-57,23,SYR,NBA,,10,,13,15,,,5,28
1957-58,24,SYR,NBA,,11,,13,15,,,6,26
1958-59,25,TOT,NBA,,10,,8,10,,,,23
1958-59,25,SYR,NBA,,10,,7,10,,,,23
1958-59,25,DET,NBA,,8,,8,8,,,6,19
1959-60,26,DET,NBA,,12,,7,10,,,,27
1960-61,27,PHW,NBA,,9,23,5,8,,,6,23
1961-62,28,PHW,NBA,,7,,5,,,,,16
Career,,,,,12,,13,,,,,28
4 Seasons,,SYR,NBA,,11,,13,15,,,,28
2 Seasons,,PHW,NBA,,9,,5,,,,,23
2 Seasons,,DET,NBA,,12,,8,10,,,,27
