Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Ed Conlin,,4.7,4.3,2,2,0.7,0.5,-0.1
Bruce Bowen,89.1,5.1,4.2,2.2,1.9,1.2,0,0
Larry McNeill,89.1,4.4,4.3,2.3,1.5,0.7,0.1,NA
Fred Hetzel,88.8,5.1,4.5,2.9,2,0.9,0.5,NA
Andrew Wiggins,88.8,4.2,4.1,2.1,2.1,0.6,NA,NA
Kwame Brown,85.2,4.9,3.6,2.5,1.9,0.8,0.6,0.6
Cornell Warner,84.5,4.7,4.3,3.5,1.7,0.6,0.6,0.3
Gar Heard,84.4,5,4.5,2.4,2.1,1.7,0.1,-0.3
Dorell Wright,84.1,5.8,4.3,2.2,1.9,0.2,-0.1,-0.1
Lamond Murray,83.7,4.9,3.3,2.3,2.1,1.2,0.3,-0.3
Dave Meyers,83.5,5,3.9,2.4,2.2,NA,NA,NA
