Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Tyler Johnson,,5.8,4.2,2.3,2,0.8,NA,NA,NA,NA
Paul Hoffman,84.1,4.7,4.1,2.2,1.1,0.8,NA,NA,NA,NA
Josh Richardson,83.9,5.6,5.4,2.5,2.2,NA,NA,NA,NA,NA
Mitchell Wiggins,82.7,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA
Randy Wittman,82.7,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0
Al Skinner,81.5,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA
Rudy Fernández,81.1,6.1,3.8,3,1.2,NA,NA,NA,NA,NA
Andre Roberson,80.5,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA
Dean Meminger,80.1,5,4.4,3.9,2.2,1,0.2,NA,NA,NA
Al Wood,80.0,4.4,4.2,2.5,2.3,1,0.9,NA,NA,NA
Bojan Bogdanović,79.9,6.8,5.4,2.9,2.4,0.9,NA,NA,NA,NA
