Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tyler Johnson,,5.8,4.2,2.3,2,0.8
John Paxson,96.1,6,4.2,2.3,2.2,0.6
J.J. Redick,89.9,6.5,4.5,2.3,1.7,0.5
Brian Shaw,89.5,5.9,3.2,2.2,1.8,1
Lionel Hollins,89.2,5.2,4,2.3,1.8,0.1
Walt Hazzard,88.7,5.3,4.5,2.5,2.2,0.2
Luke Ridnour,88.7,5.4,4.4,2.3,1.2,0.9
Travis Best,87.7,5.1,4.1,3.3,2.1,0.7
Sherman Douglas,87.6,5.4,4.4,2.7,2.6,1
Jeremy Lin,87.5,5.4,4.4,2.7,2.7,0.5
John Roche,87.5,4.8,4.1,2.5,2.3,0.5
