,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2014-15,22,MIA,NBA,SG,32,603,15%,77%,8%,,,-4.3,-1.9,10,13,20,5,14,4,98,1,11
2015-16,23,MIA,NBA,SG,36,863,52%,48%,,,,+0.6,-1.8,24,14,40,4,27,7,182,12,20
2016-17,24,MIA,NBA,PG,73,2178,53%,47%,,,,+0.7,-1.0,50,29,102,2,100,25,559,19,54
2017-18,25,MIA,NBA,PG,72,2052,42%,58%,,,,+2.1,+2.4,50,16,83,7,50,13,410,14,39
2018-19,26,TOT,NBA,PG,57,1529,93%,7%,,,,-4.1,+0.7,45,19,54,6,48,9,396,8,29
2018-19,26,MIA,NBA,PG,44,1123,91%,9%,,,,-2.7,-3.6,38,14,38,6,36,5,273,8,20
2018-19,26,PHO,NBA,PG,13,406,100%,1%,,,,-7.7,+1.5,7,5,16,0,12,4,123,0,9
2019-20,27,PHO,NBA,SG,31,515,37%,58%,5%,,,-7.8,-8.0,12,6,18,2,13,7,123,0,12
Career,,,NBA,,301,7740,54%,45%,1%,,,-0.8,-0.4,191,97,317,26,252,65,1768,54,165
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,MIA,NBA,,257,6819,52%,47%,1%,,,+0.1,-0.6,172,86,283,24,227,54,1522,54,144
2 seasons,,PHO,NBA,,44,921,65%,33%,3%,,,-7.7,-3.8,19,11,34,2,25,11,246,0,21
