Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Walter Dukes,,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5
George Johnson,88.9,5,3.6,3.5,3.4,2.6,2.6,2,0.3
Zaza Pachulia,88.5,4.8,3.9,3.9,3.1,2.9,2.7,1.1,0.3
Joe Meriweather,87.4,4.8,3.8,3.8,2.6,2.6,2.3,2.2,0.8
Clemon Johnson,86.3,4.3,4,3.7,3.5,2.2,2,1.7,1.2
Jon Koncak,85.8,3.7,3.7,3.7,3.1,2.5,2.3,1.4,1.1
Wayne Cooper,85.4,5.1,4.1,3.5,2.9,2.9,2.8,1.5,1.2
Eddy Curry,85.3,4.7,4.3,3.5,3.3,3,1.8,1.7,0
Greg Ostertag,83.1,5.9,4.2,3.8,3.8,3.4,2.2,2.1,1.4
Leroy Ellis,82.6,6.4,3.8,3.6,3.2,2.8,2.5,2.3,1.6
Steve Johnson,81.7,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3
