Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Donald Royal,,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA,NA
Earl Lloyd,87.7,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA,NA,NA
Lamond Murray,87.2,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3,NA
Kwame Brown,86.8,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1
Paul Griffin,86.5,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA,NA,NA,NA
Bill Calhoun,86.4,4.5,4.1,3.9,2.2,2.1,1.4,0.4,NA,NA,NA,NA,NA
Kyle O'Quinn,86.4,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA,NA,NA
Glen Davis,86.3,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA,NA
Andray Blatche,86.2,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA,NA,NA
Kenny Walker,85.2,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA,NA,NA
David Benoit,84.3,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA,NA,NA
