Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Donald Royal,,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4
Al Harrington,89.6,5.9,3.9,3.8,2.6,1.6,1.2,1,-0.2
Charlie Villanueva,89.0,4.9,3.9,3.5,3.1,1.7,1.7,1.6,0.4
Shandon Anderson,88.9,4.9,4.2,3.9,2.7,2,1.7,1.2,0.4
Earl Lloyd,88.9,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6
Luc Mbah a Moute,88.9,4.8,4.7,4,2.4,1.6,1.1,1,0.5
James Jones,88.5,4.7,4,3.7,2.5,2.2,1,0.9,0
Corey Brewer,87.4,5.2,3.9,3.1,2.3,1.1,1,0.3,-0.2
Lamond Murray,86.6,4.9,4.1,3.3,2.3,2.1,1.2,0.3,-0.3
Paul Griffin,86.5,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA
Kyle O'Quinn,86.4,4.8,3.9,2.5,1.6,1.6,1.4,1,NA
