Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
John Fairchild,,1.7,0.7,0,-0.6
Boštjan Nachbar,72.0,1.7,0.8,0.1,-0.1
Dominic McGuire,71.0,1.7,0.9,0,-0.2
Rodney White,69.7,1.8,0.5,-0.2,-0.4
Jérôme Moïso,65.7,1.5,0.8,-0.1,-0.3
Adrian Branch,65.2,1.5,0.7,0,-0.1
Ron Bonham,63.6,1.8,0.7,0.2,NA
Ron Riley,62.8,1.6,0.7,0.2,0
Dick Gibbs,61.2,2.1,0.4,-0.1,-0.6
Red Morrison,61.1,1.7,0.5,0,NA
Bill Bunting,61.0,2,0.7,0,NA
