Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
John Fairchild,,1.7,0.7,0,-0.6
Rodney White,69.7,1.8,0.5,-0.2,-0.4
Adrian Branch,65.2,1.5,0.7,0,-0.1
Ron Bonham,63.6,1.8,0.7,0.2,NA
Ron Riley,62.8,1.6,0.7,0.2,0
Red Morrison,61.1,1.7,0.5,0,NA
Bill Bunting,61.0,2,0.7,0,NA
Chris McNealy,60.5,1.6,0.8,0.2,NA
Jim Holstein,60.1,1.8,0.6,0.2,NA
Mario Hezonja,58.9,2.3,0.9,-0.1,-0.7
Lou Tsioropoulos,58.6,1.4,0.7,0,NA
