,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1965-66,22,LAL,NBA,,4,,,,,,3,5,,,,,,,9
1967-68,24,ANA,ABA,,13,,1,,,,8,12,,,,,,,32
1968-69,25,TOT,ABA,,9,,2,,,,9,13,,,,,,,23
1968-69,25,DNR,ABA,,3,,0,,,,4,6,,,,,,,8
1968-69,25,INA,ABA,,9,,2,,,,9,13,,,,,,,23
1969-70,26,TOT,ABA,,3,,2,,,,2,4,,,,,,,8
1969-70,26,INA,ABA,,1,,0,,,,1,2,,,,,,,3
1969-70,26,KEN,ABA,,3,,2,,,,2,4,,,,,,,8
Career,,,TOT,,13,,,,,,9,13,,,,,,,32
,,,NBA,,4,,,,,,3,5,,,,,,,9
,,,ABA,,13,,2,,,,9,13,,,,,,,32
,,,,,,,,,,,,,,,,,,,
1 Season,,ANA,ABA,,13,,1,,,,8,12,,,,,,,32
2 Seasons,,INA,ABA,,9,,2,,,,9,13,,,,,,,23
1 Season,,LAL,NBA,,4,,,,,,3,5,,,,,,,9
1 Season,,DNR,ABA,,3,,0,,,,4,6,,,,,,,8
1 Season,,KEN,ABA,,3,,2,,,,2,4,,,,,,,8
