Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1965-66,22,LAL,NBA,SF,30,NA,171,23,89,0.258,NA,NA,NA,23,89,0.258,0.258,14,20,0.7,NA,NA,45,11,NA,33,60
1967-68,24,ANA,ABA,SF,62,NA,1311,271,620,0.437,1,4,0.25,270,616,0.438,0.438,135,200,0.675,NA,NA,332,63,103,155,678
1968-69,25,TOT,ABA,SF,63,NA,717,113,294,0.384,10,29,0.345,103,265,0.389,0.401,89,127,0.701,49,80,129,37,74,98,325
1968-69,25,DNR,ABA,SF,11,NA,135,12,34,0.353,0,0,NA,12,34,0.353,0.353,16,24,0.667,7,11,18,9,15,8,40
1968-69,25,INA,ABA,SF,52,NA,582,101,260,0.388,10,29,0.345,91,231,0.394,0.408,73,103,0.709,42,69,111,28,59,90,285
1969-70,26,TOT,ABA,SF,10,NA,78,7,23,0.304,3,5,0.6,4,18,0.222,0.37,5,10,0.5,6,11,17,4,8,18,22
1969-70,26,INA,ABA,SF,3,NA,26,1,6,0.167,0,0,NA,1,6,0.167,0.167,1,2,0.5,1,8,9,2,1,8,3
1969-70,26,KEN,ABA,SF,7,NA,52,6,17,0.353,3,5,0.6,3,12,0.25,0.441,4,8,0.5,5,3,8,2,7,10,19
Career,NA,,TOT,,165,NA,2277,414,1026,0.404,14,38,0.368,400,988,0.405,0.41,243,357,0.681,55,91,523,115,185,304,1085
,NA,,ABA,,135,NA,2106,391,937,0.417,14,38,0.368,377,899,0.419,0.425,229,337,0.68,55,91,478,104,185,271,1025
,NA,,NBA,,30,NA,171,23,89,0.258,NA,NA,NA,23,89,0.258,0.258,14,20,0.7,NA,NA,45,11,NA,33,60
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,ANA,ABA,,62,NA,1311,271,620,0.437,1,4,0.25,270,616,0.438,0.438,135,200,0.675,NA,NA,332,63,103,155,678
2 seasons,NA,INA,ABA,,55,NA,608,102,266,0.383,10,29,0.345,92,237,0.388,0.402,74,105,0.705,43,77,120,30,60,98,288
1 season,NA,LAL,NBA,,30,NA,171,23,89,0.258,NA,NA,NA,23,89,0.258,0.258,14,20,0.7,NA,NA,45,11,NA,33,60
1 season,NA,DNR,ABA,,11,NA,135,12,34,0.353,0,0,NA,12,34,0.353,0.353,16,24,0.667,7,11,18,9,15,8,40
1 season,NA,KEN,ABA,,7,NA,52,6,17,0.353,3,5,0.6,3,12,0.25,0.441,4,8,0.5,5,3,8,2,7,10,19
