Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,DET,NBA,C,74,NA,1605,241,544,0.443,88,168,0.524,NA,NA,524,68,NA,NA,182,570
1969-70,23,DET,NBA,C,81,NA,2523,383,805,0.476,194,305,0.636,NA,NA,900,104,NA,NA,232,960
1970-71,24,DET,NBA,C,82,NA,1926,310,696,0.445,121,219,0.553,NA,NA,700,88,NA,NA,182,741
1971-72,25,PHO,NBA,C,81,NA,1624,260,597,0.436,94,156,0.603,NA,NA,540,88,NA,NA,212,614
1972-73,26,HOU,NBA,C,82,NA,2712,418,859,0.487,127,211,0.602,NA,NA,868,167,NA,NA,239,963
1973-74,27,TOT,NBA,C,78,NA,946,120,240,0.5,39,62,0.629,80,204,284,65,26,49,99,279
1973-74,27,HOU,NBA,C,13,NA,313,32,69,0.464,4,8,0.5,20,64,84,18,10,18,37,68
1973-74,27,KCO,NBA,C,65,NA,633,88,171,0.515,35,54,0.648,60,140,200,47,16,31,62,211
1974-75,28,TOT,NBA,C,42,NA,1066,118,262,0.45,46,69,0.667,92,238,330,83,21,40,148,282
1974-75,28,DET,NBA,C,2,NA,11,1,4,0.25,1,2,0.5,0,2,2,1,0,1,2,3
1974-75,28,NOJ,NBA,C,40,NA,1055,117,258,0.453,45,67,0.672,92,236,328,82,21,39,146,279
1975-76,29,NOJ,NBA,C,81,NA,2407,293,672,0.436,144,226,0.637,162,631,793,216,85,136,250,730
1976-77,30,NOJ,NBA,C,81,NA,2084,193,477,0.405,91,134,0.679,170,466,636,181,54,117,231,477
Career,NA,,NBA,,682,NA,16893,2336,5152,0.453,944,1550,0.609,504,1539,5575,1060,186,342,1775,5616
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DET,NBA,,239,NA,6065,935,2049,0.456,404,694,0.582,0,2,2126,261,0,1,598,2274
3 seasons,NA,NOJ,NBA,,202,NA,5546,603,1407,0.429,280,427,0.656,424,1333,1757,479,160,292,627,1486
2 seasons,NA,HOU,NBA,,95,NA,3025,450,928,0.485,131,219,0.598,20,64,952,185,10,18,276,1031
1 season,NA,PHO,NBA,,81,NA,1624,260,597,0.436,94,156,0.603,NA,NA,540,88,NA,NA,212,614
1 season,NA,KCO,NBA,,65,NA,633,88,171,0.515,35,54,0.648,60,140,200,47,16,31,62,211
