Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Otto Moore,,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA,NA,NA,NA,NA,NA,NA
Andrew Lang,86.9,5.7,4.9,3.7,3,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,NA,NA,NA,NA
Mel Counts,86.7,5,4.3,4.2,2.9,2.7,2,1.9,1.5,1.5,1,0.4,0.3,NA,NA,NA,NA
Spencer Hawes,86.6,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6,NA,NA,NA,NA,NA,NA
Will Perdue,86.3,4.7,4.7,4.4,3.4,2.5,2.5,2.3,1.5,0.5,0.3,0.2,-0.1,-0.5,NA,NA,NA
Chris Dudley,86.1,4.7,4.1,3.5,3.4,2.2,2.2,1.5,1.5,1,1,0.5,0.3,0.2,0.1,0,0
Coby Dietrick,84.7,4.5,4.4,4.1,3,2.9,2.5,2.3,2.1,1.7,0.3,0.1,0,0,NA,NA,NA
Clemon Johnson,84.3,4.3,4,3.7,3.5,2.2,2,2,1.7,1.2,0.9,NA,NA,NA,NA,NA,NA
Kevin Kunnert,84.0,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA,NA,NA,NA,NA,NA,NA
Joe Meriweather,84.0,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8,NA,NA,NA,NA,NA,NA
Steve Johnson,83.7,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3,0.2,0,NA,NA,NA,NA,NA,NA
