,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,DET,NBA,,10,,5,8,,,,,,,,22
1969-70,23,DET,NBA,,12,,9,14,,,,,,,,27
1970-71,24,DET,NBA,,10,,8,9,,,,,,,,24
1971-72,25,PHO,NBA,,9,15,6,9,,,16,,,,,21
1972-73,26,HOU,NBA,,14,,7,9,,,,,,,,30
1973-74,27,TOT,NBA,,7,,5,8,,,,,,,,15
1973-74,27,HOU,NBA,,7,,2,3,,,,,,,,14
1973-74,27,KCO,NBA,,6,,5,8,,,,,,,,15
1974-75,28,TOT,NBA,,7,,6,7,,,,,,,,16
1974-75,28,DET,NBA,,1,4,1,2,0,1,1,1,0,1,2,3
1974-75,28,NOJ,NBA,,7,,6,7,,,,,,,,16
1975-76,29,NOJ,NBA,,9,,8,13,,,,,,,,20
1976-77,30,NOJ,NBA,,8,,7,9,,,,,,,,17
Career,,,,,14,,9,14,,,,,,,,30
4 Seasons,,DET,NBA,,12,,9,14,,,,,,,,27
3 Seasons,,NOJ,NBA,,9,,8,13,,,,,,,,20
2 Seasons,,HOU,NBA,,14,,7,9,,,,,,,,30
1 Season,,PHO,NBA,,9,15,6,9,,,16,,,,,21
1 Season,,KCO,NBA,,6,,5,8,,,,,,,,15
