Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Otto Moore,,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9
Wayne Cooper,90.9,5.1,4.1,3.5,2.9,2.9,2.8,2,1.5,1.2
Mel Counts,90.5,5,4.3,4.2,2.9,2.7,1.9,1.5,1.5,1
Andrew Lang,89.6,5.7,4.9,3.7,3,2.9,2.3,1.9,1.7,1.4
Joe Meriweather,87.8,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,0.8
Clemon Johnson,86.5,4.3,4,3.7,3.5,2.2,2,2,1.7,1.2
Benoit Benjamin,86.3,5.4,5.1,4.1,4,3,2.2,2,1.1,0.9
George Johnson,85.4,5,4.5,3.6,3.5,3.4,2.6,2.6,2,0.3
Marreese Speights,85.0,4.2,4,3.8,2.8,2.7,2.1,2.1,1.8,1.7
Spencer Hawes,84.6,4.5,4.5,2.9,2.4,2.1,1.9,1.2,0.8,0.6
Zaza Pachulia,84.6,5,4.8,3.9,3.9,3.1,2.9,2.7,1.1,0.3
