Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Rodney Hood,,6,2.7,2.6,2.6,2.2,NA,NA,NA,NA
Marcus Smart,87.7,5.3,3.2,2.9,2.9,1.9,NA,NA,NA,NA
Larry Miller,81.7,6.2,3.4,3.2,3,2.4,1.3,0,NA,NA
Ray Lumpp,81.0,6.7,3.3,2,1.9,1.7,NA,NA,NA,NA
Elfrid Payton,79.7,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA
Avery Bradley,79.0,4.8,3.1,2.5,2.4,1.8,0.4,0.3,-0.2,-0.5
Tim Hardaway,79.0,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA
Evan Fournier,78.9,5.7,3.3,3.2,2.8,2.1,1.4,1,NA,NA
Dennis Schröder,77.5,3.7,2.9,2.6,2.5,2.2,-0.7,NA,NA,NA
Charlie Criss,76.9,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0,NA
Todd Day,76.8,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,NA
