Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rodney Hood,,6,2.7,2.6,2.6,2.2
Scott Brooks,88.3,4.6,2.9,2.7,2.6,2.1
Chucky Atkins,88.2,5.1,2.8,2.7,2.4,1.5
Šarūnas Marčiulionis,87.9,6.4,3.8,3,2.5,2.3
Marcus Smart,87.7,5.3,3.2,2.9,2.9,1.9
Larry Miller,87.1,6.2,3.4,3.2,3,2.4
Nate Robinson,86.9,5.9,3.2,3.2,2.2,1.5
Bimbo Coles,85.5,5.7,3.2,3,2.8,1.1
Todd Day,83.7,4.8,3.2,2.6,2.1,1.9
Foots Walker,83.2,5.2,3.4,3,2.3,1.5
Darwin Cook,83.0,6,3.9,3.6,2.7,1.6
