Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jim Price,,5,3.7,2.7,2.6,2.4,1.8,1.5,NA,NA,NA,NA
Carlos Arroyo,93.0,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA
Keith Bogans,91.4,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0
Herm Gilliam,90.8,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA,NA
Maurice Evans,89.5,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA,NA
Greg Buckner,89.0,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.3,0.1,NA
Todd Day,87.6,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,NA,NA,NA
Lionel Hollins,86.4,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1,NA
Jerry Sichting,85.6,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,NA
Evan Fournier,84.7,5.7,3.3,3.2,2.8,2.1,1.4,1,NA,NA,NA,NA
Anthony Morrow,83.7,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA
