Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23,LAL,NBA,PG,59,NA,828,158,359,0.44,60,73,0.822,NA,NA,115,97,NA,NA,NA,119,376
1973-74,24,LAL,NBA,PG,82,NA,2628,538,1197,0.449,187,234,0.799,120,258,378,369,157,29,NA,229,1263
1974-75,25,TOT,NBA,PG,50,NA,1870,317,717,0.442,169,194,0.871,62,136,198,286,111,24,NA,182,803
1974-75,25,LAL,NBA,PG,9,NA,339,75,167,0.449,41,45,0.911,17,26,43,63,21,3,NA,36,191
1974-75,25,MIL,NBA,PG,41,NA,1531,242,550,0.44,128,149,0.859,45,110,155,223,90,21,NA,146,612
1975-76,26,MIL,NBA,PG,80,NA,2525,398,958,0.415,141,166,0.849,74,187,261,395,148,32,NA,264,937
1976-77,27,TOT,NBA,PG,81,NA,1828,253,567,0.446,83,103,0.806,50,181,231,261,128,20,NA,247,589
1976-77,27,MIL,NBA,PG,6,NA,111,21,41,0.512,7,9,0.778,4,9,13,15,7,1,NA,14,49
1976-77,27,BUF,NBA,PG,20,NA,333,44,104,0.423,17,20,0.85,5,29,34,38,25,5,NA,52,105
1976-77,27,DEN,NBA,PG,55,NA,1384,188,422,0.445,59,74,0.797,41,143,184,208,96,14,NA,181,435
1977-78,28,TOT,NBA,PG,83,NA,1929,294,656,0.448,135,169,0.799,57,203,260,260,114,9,175,200,723
1977-78,28,DEN,NBA,PG,49,NA,1090,141,293,0.481,51,66,0.773,30,129,159,158,69,4,101,118,333
1977-78,28,DET,NBA,PG,34,NA,839,153,363,0.421,84,103,0.816,27,74,101,102,45,5,74,82,390
1978-79,29,LAL,NBA,PG,75,NA,1207,171,344,0.497,55,79,0.696,26,97,123,218,66,12,100,128,397
Career,NA,,NBA,,510,NA,12815,2129,4798,0.444,830,1018,0.815,389,1062,1566,1886,724,126,275,1369,5088
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,LAL,NBA,,225,NA,5002,942,2067,0.456,343,431,0.796,163,381,659,747,244,44,100,512,2227
3 seasons,NA,MIL,NBA,,127,NA,4167,661,1549,0.427,276,324,0.852,123,306,429,633,245,54,NA,424,1598
2 seasons,NA,DEN,NBA,,104,NA,2474,329,715,0.46,110,140,0.786,71,272,343,366,165,18,101,299,768
1 season,NA,DET,NBA,,34,NA,839,153,363,0.421,84,103,0.816,27,74,101,102,45,5,74,82,390
1 season,NA,BUF,NBA,,20,NA,333,44,104,0.423,17,20,0.85,5,29,34,38,25,5,NA,52,105
