Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jim Price,,5,3.7,2.7,2.6,2.4,1.8,1.5
Scott Brooks,90.1,4.6,3.3,2.9,2.7,2.6,2.1,1.9
Herm Gilliam,89.6,4.9,3.4,2.9,2.7,2.5,1.4,0.4
Eric Piatkowski,89.6,5.5,3.9,2.3,2.3,2.3,2,1.2
Mike Glenn,88.5,4.4,3.9,2.9,2.8,2.8,2.1,1.9
Greg Buckner,87.9,4.8,3.8,3.1,2.3,2,1.8,0.3
Anthony Morrow,87.7,5.7,3.5,3,3,2.4,1.7,0.7
Tom Henderson,87.6,4.7,4.5,3.1,2.4,2.1,1.5,1.3
Todd Day,87.2,4.8,3.2,2.6,2.5,2.1,1.9,0.1
Bill Hanzlik,87.0,4.7,4.1,3.5,2.4,2.2,1.9,1
Rodney Stuckey,86.2,5,4.5,3.8,2.7,2.5,2.2,2
