Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,24,LAL,NBA,PG,82,NA,2628,8.8,19.6,0.449,3.1,3.8,0.799,2,4.2,6.2,6,2.6,0.5,NA,3.7,20.7,NA,NA,97
1974-75,25,TOT,NBA,PG,50,NA,1870,7.9,17.9,0.442,4.2,4.8,0.871,1.5,3.4,4.9,7.1,2.8,0.6,NA,4.5,20,NA,NA,98
1974-75,25,LAL,NBA,PG,9,NA,339,10,22.2,0.449,5.5,6,0.911,2.3,3.5,5.7,8.4,2.8,0.4,NA,4.8,25.4,NA,NA,100
1974-75,25,MIL,NBA,PG,41,NA,1531,7.4,16.9,0.44,3.9,4.6,0.859,1.4,3.4,4.8,6.8,2.8,0.6,NA,4.5,18.8,NA,NA,98
1975-76,26,MIL,NBA,PG,80,NA,2525,7.3,17.5,0.415,2.6,3,0.849,1.4,3.4,4.8,7.2,2.7,0.6,NA,4.8,17.2,NA,NA,99
1976-77,27,TOT,NBA,PG,81,NA,1828,6,13.5,0.446,2,2.5,0.806,1.2,4.3,5.5,6.2,3,0.5,NA,5.9,14,NA,NA,97
1976-77,27,MIL,NBA,PG,6,NA,111,8.4,16.4,0.512,2.8,3.6,0.778,1.6,3.6,5.2,6,2.8,0.4,NA,5.6,19.6,NA,NA,103
1976-77,27,BUF,NBA,PG,20,NA,333,5.9,14,0.423,2.3,2.7,0.85,0.7,3.9,4.6,5.1,3.4,0.7,NA,7,14.1,NA,NA,100
1976-77,27,DEN,NBA,PG,55,NA,1384,5.9,13.2,0.445,1.8,2.3,0.797,1.3,4.5,5.7,6.5,3,0.4,NA,5.6,13.6,NA,NA,96
1977-78,28,TOT,NBA,PG,83,NA,1929,6.8,15.1,0.448,3.1,3.9,0.799,1.3,4.7,6,6,2.6,0.2,4,4.6,16.6,NA,95,101
1977-78,28,DEN,NBA,PG,49,NA,1090,5.7,11.9,0.481,2.1,2.7,0.773,1.2,5.2,6.5,6.4,2.8,0.2,4.1,4.8,13.5,NA,94,101
1977-78,28,DET,NBA,PG,34,NA,839,8.1,19.3,0.421,4.5,5.5,0.816,1.4,3.9,5.4,5.4,2.4,0.3,3.9,4.4,20.7,NA,97,102
1978-79,29,LAL,NBA,PG,75,NA,1207,6.4,12.9,0.497,2.1,3,0.696,1,3.6,4.6,8.2,2.5,0.5,3.8,4.8,14.9,NA,100,104
Career,NA,,NBA,,451,NA,11987,7.4,16.6,0.444,2.9,3.5,0.815,1.5,4,5.4,6.7,2.7,0.5,1,4.7,17.6,NA,97,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,166,NA,4174,8.2,17.9,0.459,3,3.8,0.791,1.7,4,5.7,6.8,2.6,0.5,1,4.1,19.4,NA,100,100
3 seasons,NA,MIL,NBA,,127,NA,4167,7.4,17.3,0.427,3.1,3.6,0.852,1.4,3.4,4.8,7.1,2.7,0.6,NA,4.7,17.8,NA,NA,99
2 seasons,NA,DEN,NBA,,104,NA,2474,5.8,12.6,0.46,1.9,2.5,0.786,1.3,4.8,6,6.5,2.9,0.3,1.8,5.3,13.5,NA,94,98
1 season,NA,DET,NBA,,34,NA,839,8.1,19.3,0.421,4.5,5.5,0.816,1.4,3.9,5.4,5.4,2.4,0.3,3.9,4.4,20.7,NA,97,102
1 season,NA,BUF,NBA,,20,NA,333,5.9,14,0.423,2.3,2.7,0.85,0.7,3.9,4.6,5.1,3.4,0.7,NA,7,14.1,NA,NA,100
