Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23,LAL,NBA,PG,3,NA,16,3,11,0.273,0,0,NA,NA,NA,4,2,NA,NA,NA,2,6
1973-74,24,LAL,NBA,PG,5,NA,161,25,66,0.379,9,13,0.692,8,11,19,13,7,0,NA,21,59
1975-76,26,MIL,NBA,PG,1,NA,19,3,8,0.375,4,7,0.571,0,0,0,4,1,0,NA,1,10
1976-77,27,DEN,NBA,PG,6,NA,158,19,53,0.358,5,8,0.625,6,18,24,25,12,1,NA,18,43
1978-79,29,LAL,NBA,PG,8,NA,128,9,30,0.3,2,4,0.5,1,7,8,18,5,0,8,19,20
Career,NA,,NBA,,23,NA,482,59,168,0.351,20,32,0.625,15,36,55,62,25,1,8,61,138
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,16,NA,305,37,107,0.346,11,17,0.647,9,18,31,33,12,0,8,42,85
1 season,NA,DEN,NBA,,6,NA,158,19,53,0.358,5,8,0.625,6,18,24,25,12,1,NA,18,43
1 season,NA,MIL,NBA,,1,NA,19,3,8,0.375,4,7,0.571,0,0,0,4,1,0,NA,1,10
