Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23,LAL,NBA,PG,3,NA,5.3,1,3.7,0.273,0,0,NA,NA,NA,1.3,0.7,NA,NA,NA,0.7,2
1973-74,24,LAL,NBA,PG,5,NA,32.2,5,13.2,0.379,1.8,2.6,0.692,1.6,2.2,3.8,2.6,1.4,0,NA,4.2,11.8
1975-76,26,MIL,NBA,PG,1,NA,19,3,8,0.375,4,7,0.571,0,0,0,4,1,0,NA,1,10
1976-77,27,DEN,NBA,PG,6,NA,26.3,3.2,8.8,0.358,0.8,1.3,0.625,1,3,4,4.2,2,0.2,NA,3,7.2
1978-79,29,LAL,NBA,PG,8,NA,16,1.1,3.8,0.3,0.3,0.5,0.5,0.1,0.9,1,2.3,0.6,0,1,2.4,2.5
Career,NA,,NBA,,23,NA,21,2.6,7.3,0.351,0.9,1.4,0.625,0.8,1.8,2.4,2.7,1.3,0.1,1,2.7,6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,16,NA,19.1,2.3,6.7,0.346,0.7,1.1,0.647,0.7,1.4,1.9,2.1,0.9,0,1,2.6,5.3
1 season,NA,DEN,NBA,,6,NA,26.3,3.2,8.8,0.358,0.8,1.3,0.625,1,3,4,4.2,2,0.2,NA,3,7.2
1 season,NA,MIL,NBA,,1,NA,19,3,8,0.375,4,7,0.571,0,0,0,4,1,0,NA,1,10
